item_name,date,avg_price,trade_count
파괴석 조각,2026-01-18,1.0,900
파괴석 조각,2026-01-17,1.0,1524
파괴석 조각,2026-01-16,1.0,475
파괴석 조각,2026-01-15,1.6,2340
파괴석 조각,2026-01-14,1.0,5148
파괴석 조각,2026-01-13,1.0,6527
파괴석 조각,2026-01-12,1.0,3073
파괴석 조각,2026-01-11,1.0,35931
파괴석 조각,2026-01-10,1.0,36829
파괴석 조각,2026-01-09,1.0,4
파괴석 조각,2026-01-08,0.0,0
파괴석 조각,2026-01-07,1.0,1
파괴석 조각,2026-01-06,1.0,677
파괴석 조각,2026-01-05,0.0,0
파괴석 결정,2026-01-18,1.0,46363
파괴석 결정,2026-01-17,1.0,12957
파괴석 결정,2026-01-16,1.7,59445
파괴석 결정,2026-01-15,2.3,95845
파괴석 결정,2026-01-14,2.2,45404
파괴석 결정,2026-01-13,2.5,67040
파괴석 결정,2026-01-12,2.5,127272
파괴석 결정,2026-01-11,2.5,110994
파괴석 결정,2026-01-10,1.6,484303
파괴석 결정,2026-01-09,1.0,10796
파괴석 결정,2026-01-08,1.0,10111
파괴석 결정,2026-01-07,1.0,3
파괴석 결정,2026-01-06,1.0,199
파괴석 결정,2026-01-05,1.0,2
수호석 조각,2026-01-18,1.0,1
수호석 조각,2026-01-17,1.0,1600
수호석 조각,2026-01-16,1.0,1771
수호석 조각,2026-01-15,1.0,764
수호석 조각,2026-01-14,1.0,1514
수호석 조각,2026-01-13,1.0,911
수호석 조각,2026-01-12,1.0,1
수호석 조각,2026-01-11,1.0,7
수호석 조각,2026-01-10,1.0,1287
수호석 조각,2026-01-09,1.0,1
수호석 조각,2026-01-08,1.0,596
수호석 조각,2026-01-07,1.0,891
수호석 조각,2026-01-06,0.0,0
수호석 조각,2026-01-05,1.0,290
수호석 결정,2026-01-18,0.0,0
수호석 결정,2026-01-17,1.0,877
수호석 결정,2026-01-16,1.0,24969
수호석 결정,2026-01-15,1.0,1075
수호석 결정,2026-01-14,1.0,1891
수호석 결정,2026-01-13,1.0,5051
수호석 결정,2026-01-12,1.0,704
수호석 결정,2026-01-11,1.0,5393
수호석 결정,2026-01-10,1.0,6108
수호석 결정,2026-01-09,1.0,10
수호석 결정,2026-01-08,1.0,308
수호석 결정,2026-01-07,1.0,795
수호석 결정,2026-01-06,1.0,993
수호석 결정,2026-01-05,0.0,0
수호강석,2026-01-18,1.0,1
수호강석,2026-01-17,1.0,226
수호강석,2026-01-16,1.0,253
수호강석,2026-01-15,1.0,427
수호강석,2026-01-14,1.0,124
수호강석,2026-01-13,1.0,223
수호강석,2026-01-12,1.0,21
수호강석,2026-01-11,1.0,2411
수호강석,2026-01-10,1.0,2871
수호강석,2026-01-09,1.0,109
수호강석,2026-01-08,1.0,195
수호강석,2026-01-07,1.0,14
수호강석,2026-01-06,1.0,8
수호강석,2026-01-05,1.0,25
질서의 젬 : 불변,2026-01-18,0.0,0
질서의 젬 : 불변,2026-01-17,0.0,0
질서의 젬 : 불변,2026-01-16,0.0,0
질서의 젬 : 불변,2026-01-15,0.0,0
질서의 젬 : 불변,2026-01-14,0.0,0
질서의 젬 : 불변,2026-01-13,0.0,0
질서의 젬 : 불변,2026-01-12,0.0,0
질서의 젬 : 불변,2026-01-11,0.0,0
질서의 젬 : 불변,2026-01-10,0.0,0
질서의 젬 : 불변,2026-01-09,0.0,0
질서의 젬 : 불변,2026-01-08,0.0,0
질서의 젬 : 불변,2026-01-07,0.0,0
질서의 젬 : 불변,2026-01-06,0.0,0
질서의 젬 : 불변,2026-01-05,0.0,0
혼돈의 젬 : 침식,2026-01-18,0.0,0
혼돈의 젬 : 침식,2026-01-17,0.0,0
혼돈의 젬 : 침식,2026-01-16,0.0,0
혼돈의 젬 : 침식,2026-01-15,0.0,0
혼돈의 젬 : 침식,2026-01-14,0.0,0
혼돈의 젬 : 침식,2026-01-13,0.0,0
혼돈의 젬 : 침식,2026-01-12,0.0,0
혼돈의 젬 : 침식,2026-01-11,0.0,0
혼돈의 젬 : 침식,2026-01-10,0.0,0
혼돈의 젬 : 침식,2026-01-09,0.0,0
혼돈의 젬 : 침식,2026-01-08,0.0,0
혼돈의 젬 : 침식,2026-01-07,0.0,0
혼돈의 젬 : 침식,2026-01-06,0.0,0
혼돈의 젬 : 침식,2026-01-05,0.0,0
혼돈의 젬 : 왜곡,2026-01-18,0.0,0
혼돈의 젬 : 왜곡,2026-01-17,0.0,0
혼돈의 젬 : 왜곡,2026-01-16,0.0,0
혼돈의 젬 : 왜곡,2026-01-15,0.0,0
혼돈의 젬 : 왜곡,2026-01-14,0.0,0
혼돈의 젬 : 왜곡,2026-01-13,0.0,0
혼돈의 젬 : 왜곡,2026-01-12,0.0,0
혼돈의 젬 : 왜곡,2026-01-11,0.0,0
혼돈의 젬 : 왜곡,2026-01-10,0.0,0
혼돈의 젬 : 왜곡,2026-01-09,0.0,0
혼돈의 젬 : 왜곡,2026-01-08,0.0,0
혼돈의 젬 : 왜곡,2026-01-07,0.0,0
혼돈의 젬 : 왜곡,2026-01-06,0.0,0
혼돈의 젬 : 왜곡,2026-01-05,0.0,0
혼돈의 젬 : 붕괴,2026-01-18,0.0,0
혼돈의 젬 : 붕괴,2026-01-17,0.0,0
혼돈의 젬 : 붕괴,2026-01-16,0.0,0
혼돈의 젬 : 붕괴,2026-01-15,0.0,0
혼돈의 젬 : 붕괴,2026-01-14,0.0,0
혼돈의 젬 : 붕괴,2026-01-13,0.0,0
혼돈의 젬 : 붕괴,2026-01-12,0.0,0
혼돈의 젬 : 붕괴,2026-01-11,0.0,0
혼돈의 젬 : 붕괴,2026-01-10,0.0,0
혼돈의 젬 : 붕괴,2026-01-09,0.0,0
혼돈의 젬 : 붕괴,2026-01-08,0.0,0
혼돈의 젬 : 붕괴,2026-01-07,0.0,0
혼돈의 젬 : 붕괴,2026-01-06,0.0,0
혼돈의 젬 : 붕괴,2026-01-05,0.0,0
오레하 융화 재료,2026-01-18,1.0,931
오레하 융화 재료,2026-01-17,2.1,1711
오레하 융화 재료,2026-01-16,1.7,1766
오레하 융화 재료,2026-01-15,1.5,1512
오레하 융화 재료,2026-01-14,2.7,29346
오레하 융화 재료,2026-01-13,1.3,5625
오레하 융화 재료,2026-01-12,1.7,3984
오레하 융화 재료,2026-01-11,1.6,2706
오레하 융화 재료,2026-01-10,1.4,3930
오레하 융화 재료,2026-01-09,1.0,2704
오레하 융화 재료,2026-01-08,1.0,158490
오레하 융화 재료,2026-01-07,2.1,3505
오레하 융화 재료,2026-01-06,1.7,391
오레하 융화 재료,2026-01-05,2.7,10240
조화의 돌파석,2026-01-18,0.0,0
조화의 돌파석,2026-01-17,1.0,4
조화의 돌파석,2026-01-16,0.0,0
조화의 돌파석,2026-01-15,0.0,0
조화의 돌파석,2026-01-14,0.0,0
조화의 돌파석,2026-01-13,1.0,1
조화의 돌파석,2026-01-12,0.0,0
조화의 돌파석,2026-01-11,1.0,413
조화의 돌파석,2026-01-10,1.0,1
조화의 돌파석,2026-01-09,1.0,2004
조화의 돌파석,2026-01-08,0.0,0
조화의 돌파석,2026-01-07,1.0,1
조화의 돌파석,2026-01-06,1.0,999
조화의 돌파석,2026-01-05,1.0,17
위대한 명예의 돌파석,2026-01-18,1.0,18007
위대한 명예의 돌파석,2026-01-17,1.0,8663
위대한 명예의 돌파석,2026-01-16,1.0,118
위대한 명예의 돌파석,2026-01-15,1.0,5630
위대한 명예의 돌파석,2026-01-14,1.0,93
위대한 명예의 돌파석,2026-01-13,1.0,294
위대한 명예의 돌파석,2026-01-12,1.0,1519
위대한 명예의 돌파석,2026-01-11,1.0,93
위대한 명예의 돌파석,2026-01-10,1.0,157
위대한 명예의 돌파석,2026-01-09,1.0,3255
위대한 명예의 돌파석,2026-01-08,1.0,47
위대한 명예의 돌파석,2026-01-07,1.0,2200
위대한 명예의 돌파석,2026-01-06,1.0,1255
위대한 명예의 돌파석,2026-01-05,1.0,20
야금술 : 선혈 [8-10],2026-01-18,0.0,0
야금술 : 선혈 [8-10],2026-01-17,1.0,24
야금술 : 선혈 [8-10],2026-01-16,1.0,79
야금술 : 선혈 [8-10],2026-01-15,1.0,113
