page,date_str,title,link
1,15:23,[잡담]전태 족고수가 디코 방송보면서 하루종일 갈궈주면 좋겠다,https://www.inven.co.kr/board/lostark/6271/3214956?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,14:04,[잡담]왜 국회방송에서 제주도보여주는데 로아브금나오냐?ㅋㅋㅋ,https://www.inven.co.kr/board/lostark/6271/3214536?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,04:52,[잡담]아 방송해야겠다,https://www.inven.co.kr/board/lostark/6271/3212743?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-22,[잡담]이다방송이원래 훈수가심햇나?,https://www.inven.co.kr/board/lostark/6271/3212154?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-22,[잡담]나 로아방송하면 보러와줄꺼니?,https://www.inven.co.kr/board/lostark/6271/3211238?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-22,[잡담]ㅇㅂ ㅉ지방송 보는데 데헌아크그리드 개재밋어보이네 ㄷㄷ,https://www.inven.co.kr/board/lostark/6271/3210942?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-22,[잡담]방송인들 공대 보면서 느낀건데,https://www.inven.co.kr/board/lostark/6271/3210322?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-22,[잡담]로벤이나 방송 인식이 좀 크긴 함,https://www.inven.co.kr/board/lostark/6271/3209387?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-21,[잡담]근데 방송고지 한 방에 들어갔으면 욕 먹는 거 감안해야함,https://www.inven.co.kr/board/lostark/6271/3207161?name=subject&keyword=%EB%B0%A9%EC%86%A1
1,01-21,[잡담]쫀지 방송 보면서 느낀건데,https://www.inven.co.kr/board/lostark/6271/3207113?name=subject&keyword=%EB%B0%A9%EC%86%A1
